City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.9167,42.91,70,40,6.91,CL,2022-12-10 05:05:43
1,Rikitea,-23.1203,-134.9692,76.32,79,11,11.32,PF,2022-12-10 05:05:44
2,Busselton,-33.65,115.3333,71.17,37,91,8.55,AU,2022-12-10 05:05:44
3,Codrington,-38.2667,141.9667,74.64,44,4,6.62,AU,2022-12-10 05:05:45
4,Kuldur,49.2167,131.6333,8.64,84,59,4.32,RU,2022-12-10 05:05:45
5,Hobart,-42.8794,147.3294,66.22,65,75,5.75,AU,2022-12-10 05:01:13
6,Chokurdakh,70.6333,147.9167,-12.82,97,100,4.76,RU,2022-12-10 05:05:46
7,Ushuaia,-54.8,-68.3,31.66,95,14,3.24,AR,2022-12-10 05:01:52
8,Kodiak,57.79,-152.4072,29.71,43,0,8.05,US,2022-12-10 05:05:46
9,Norman Wells,65.282,-126.8329,-11.16,70,75,4.61,CA,2022-12-10 04:57:22
10,Albany,42.6001,-73.9662,25.65,70,0,1.99,US,2022-12-10 05:05:47
11,Barrow,71.2906,-156.7887,1.42,85,0,10.36,US,2022-12-10 05:05:47
12,Batie,9.8833,-2.9167,72.86,26,0,4.41,BF,2022-12-10 05:05:48
13,Fortuna,40.5982,-124.1573,49.66,90,100,28.77,US,2022-12-10 05:01:28
14,Cabo San Lucas,22.8909,-109.9124,68.61,70,19,6.64,MX,2022-12-10 05:00:01
15,Port Alfred,-33.5906,26.891,70.18,89,97,8.99,ZA,2022-12-10 05:05:49
16,Bluff,-46.6,168.3333,63.81,83,71,15.17,NZ,2022-12-10 05:05:49
17,Lata,40.1629,-8.3327,53.08,91,100,4.63,PT,2022-12-10 05:05:49
18,Tiksi,71.6872,128.8694,-29.47,100,79,5.12,RU,2022-12-10 05:05:03
19,Jaguarari,-10.2639,-40.1958,68.7,67,82,4.72,BR,2022-12-10 05:05:50
20,Ambilobe,-13.2,49.05,82.56,69,27,1.59,MG,2022-12-10 05:05:50
21,Jiexiu,37.0244,111.9125,33.48,23,82,4.36,CN,2022-12-10 05:05:51
22,Arraial Do Cabo,-22.9661,-42.0278,72.68,93,1,7.25,BR,2022-12-10 05:05:51
23,Opuwo,-18.0607,13.84,65.82,30,3,3.36,NA,2022-12-10 05:05:52
24,Sao Joao Da Barra,-21.6403,-41.0511,73.09,93,2,3.76,BR,2022-12-10 05:05:01
25,Mangan,27.5167,88.5333,71.28,45,4,5.88,IN,2022-12-10 05:05:52
26,Vila Velha,-20.3297,-40.2925,76.95,97,75,0.0,BR,2022-12-10 04:53:38
